method,uri,status,bytes_sent,request_time,rule_count,severity_score,user_agent_len,uri_len,has_sqli_pattern,has_xss_pattern,has_suspicious_path,label
GET,/TEST/$$$call$$$/grid/article-galleys/article-galley-grid/fetch-grid?submissionId=2&publicationId=2&_=1776398177642,200,0,0.0,0,0,0,115,0,0,0,0
GET,/TEST/$$$call$$$/grid/users/author/author-grid/fetch-grid?submissionId=2&publicationId=2&_=1776398177641,200,0,0.0,0,0,0,104,0,0,0,0
GET,/TEST/submissions,200,0,0.0,0,0,0,17,0,0,0,0
GET,/TEST/api/v1/_submissions?status=1&assignedTo=-1&searchPhrase=&count=30&offset=0&_=1776398536018,200,0,0.0,0,0,0,96,0,0,0,0
GET,/TEST/api/v1/_submissions?status=1&searchPhrase=&count=30&offset=0&_=1776398536019,200,0,0.0,0,0,0,82,0,0,0,0
GET,/TEST/api/v1/_submissions?status[]=4&status[]=3&status[]=5&searchPhrase=&count=30&offset=0&_=1776398536020,200,0,0.0,0,0,0,106,0,0,0,0
GET,/TEST/login/signOut,302,0,0.0,0,0,0,19,0,0,0,0
GET,/TEST/login,200,0,0.0,0,0,0,11,0,0,0,0
POST,/TEST/login/signIn,200,0,0.0,0,2,0,18,0,0,0,1
POST,/TEST/login/signIn,200,0,0.0,0,2,0,18,0,0,0,1
POST,/TEST/login/signIn,302,0,0.0,0,0,0,18,0,0,0,0
GET,/TEST/submissions,200,0,0.0,0,0,0,17,0,0,0,0
GET,/TEST/api/v1/_submissions?status=1&assignedTo=-1&searchPhrase=&count=30&offset=0&_=1776407974855,200,0,0.0,0,0,0,96,0,0,0,0
GET,/TEST/api/v1/_submissions?status[]=4&status[]=3&status[]=5&searchPhrase=&count=30&offset=0&_=1776407974857,200,0,0.0,0,0,0,106,0,0,0,0
GET,/TEST/api/v1/_submissions?status=1&searchPhrase=&count=30&offset=0&_=1776407974856,200,0,0.0,0,0,0,82,0,0,0,0
GET,/TEST/api/v1/_submissions?status=1&assignedTo[]=1&searchPhrase=<>&count=30&offset=0&_=1776407974858,200,0,0.0,0,0,0,99,0,0,0,0
GET,/TEST/api/v1/_submissions?status=1&assignedTo[]=1&searchPhrase=<scii>&count=30&offset=0&_=1776407974859,200,0,0.0,0,0,0,103,0,0,0,0
