ip,method,uri_full,uri_norm,timestamp,status,label,attack_tags,anomaly_score
10.34.239.41,GET,/plugins/generic/tinymce/plugins/pkpTags/plugin.js,/plugins/generic/tinymce/plugins/pkpTags/plugin.js,1776396346,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/link/plugin.min.js,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/link/plugin.min.js,1776396346,200,normal,,
10.34.239.41,GET,/plugins/generic/tinymce/plugins/pkpWordcount/plugin.js,/plugins/generic/tinymce/plugins/pkpWordcount/plugin.js,1776396346,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/noneditable/plugin.min.js,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/noneditable/plugin.min.js,1776396346,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/paste/plugin.min.js,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/paste/plugin.min.js,1776396346,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/noneditable/plugin.min.js,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/noneditable/plugin.min.js,1776396347,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/paste/plugin.min.js,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/paste/plugin.min.js,1776396347,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/link/plugin.min.js,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/link/plugin.min.js,1776396347,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/tinymce/tinymce/skins/lightgray/content.inline.min.css,/lib/pkp/lib/vendor/tinymce/tinymce/skins/lightgray/content.inline.min.css,1776396347,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/tinymce/tinymce/skins/lightgray/skin.min.css,/lib/pkp/lib/vendor/tinymce/tinymce/skins/lightgray/skin.min.css,1776396347,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=1&_=1776396346558,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=1&_=1776396346558,1776396347,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/article-galleys/article-galley-grid/fetch-grid?submissionId=2&publicationId=2&_=1776396346560,/TEST/$$$call$$$/grid/article-galleys/article-galley-grid/fetch-grid?submissionId=2&publicationId=2&_=1776396346560,1776396347,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/users/author/author-grid/fetch-grid?submissionId=2&publicationId=2&_=1776396346559,/TEST/$$$call$$$/grid/users/author/author-grid/fetch-grid?submissionId=2&publicationId=2&_=1776396346559,1776396347,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/files/submission/editor-submission-details-files-grid/fetch-grid?submissionId=2&stageId=1&_=1776396346563,/TEST/$$$call$$$/grid/files/submission/editor-submission-details-files-grid/fetch-grid?submissionId=2&stageId=1&_=1776396346563,1776396347,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/users/stage-participant/stage-participant-grid/fetch-grid?submissionId=2&stageId=1&_=1776396346562,/TEST/$$$call$$$/grid/users/stage-participant/stage-participant-grid/fetch-grid?submissionId=2&stageId=1&_=1776396346562,1776396347,200,normal,,
10.34.239.41,GET,/TEST/workflow/editorDecisionActions?submissionId=2&stageId=1&contextId=submission&_=1776396346561,/TEST/workflow/editorDecisionActions?submissionId=2&stageId=1&contextId=submission&_=1776396346561,1776396347,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/queries/queries-grid/fetch-grid?submissionId=2&stageId=1&_=1776396346564,/TEST/$$$call$$$/grid/queries/queries-grid/fetch-grid?submissionId=2&stageId=1&_=1776396346564,1776396347,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/queries/queries-grid/read-query?submissionId=2&stageId=1&queryId=2&_=1776396346565,/TEST/$$$call$$$/grid/queries/queries-grid/read-query?submissionId=2&stageId=1&queryId=2&_=1776396346565,1776396353,200,normal,,
